"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.276,-0.005,0.01,0.27352,-0.0029437,0
0.277,-0.005,0.01,0.30511,-0.0032039,0
0.278,-0.005,0.01,0.32348,-0.0028714,0
0.279,-0.005,0.01,0.32848,-0.0026049,0
0.28,-0.005,0.01,0.32434,-0.0025702,0
0.281,-0.005,0.01,0.31301,-0.0024159,0
0.282,-0.005,0.01,0.29842,-0.0024248,0
0.283,-0.005,0.01,0.28575,-0.0027583,0
0.284,-0.005,0.01,0.27683,-0.0031426,0
0.285,-0.005,0.01,0.2697,-0.0032708,0
0.286,-0.005,0.01,0.26433,-0.0032746,0
0.287,-0.005,0.01,0.2612,-0.0032721,0
0.288,-0.005,0.01,0.25793,-0.0032163,0
0.289,-0.005,0.01,0.25453,-0.0033054,0
0.29,-0.005,0.01,0.25157,-0.0033911,0
0.291,-0.005,0.01,0.24821,-0.0032919,0
0.292,-0.005,0.01,0.24479,-0.0031659,0
0.293,-0.005,0.01,0.24182,-0.0031062,0
0.294,-0.005,0.01,0.23911,-0.0030689,0
0.295,-0.005,0.01,0.23583,-0.0029438,0
0.296,-0.005,0.01,0.23234,-0.0027758,0
0.297,-0.005,0.01,0.22906,-0.0025703,0
0.298,-0.005,0.01,0.22517,-0.0022716,0
0.299,-0.005,0.01,0.22144,-0.0020151,0
0.3,-0.005,0.01,0.21839,-0.0018267,0
0.301,-0.005,0.01,0.21533,-0.0016415,0
0.302,-0.005,0.01,0.21231,-0.0014858,0
0.303,-0.005,0.01,0.20951,-0.0013475,0
0.304,-0.005,0.01,0.20679,-0.0011952,0
0.305,-0.005,0.01,0.20373,-0.0010167,0
0.306,-0.005,0.01,0.20076,-0.00084771,0
0.307,-0.005,0.01,0.1982,-0.00069719,0
0.308,-0.005,0.01,0.19551,-0.00054778,0
0.309,-0.005,0.01,0.19303,-0.00042011,0
0.31,-0.005,0.01,0.19087,-0.00029682,0
0.311,-0.005,0.01,0.18853,-0.00016234,0
0.312,-0.005,0.01,0.18612,-3.7392e-05,0
0.313,-0.005,0.01,0.18391,7.0161e-05,0
0.314,-0.005,0.01,0.1819,0.00016808,0
0.315,-0.005,0.01,0.17976,0.00026026,0
0.316,-0.005,0.01,0.17777,0.00034444,0
0.317,-0.005,0.01,0.1761,0.00042681,0
0.318,-0.005,0.01,0.1742,0.00050352,0
0.319,-0.005,0.01,0.17232,0.00056236,0
0.32,-0.005,0.01,0.17064,0.0006094,0
0.321,-0.005,0.01,0.16887,0.00065349,0
0.322,-0.005,0.01,0.16718,0.00070002,0
0.323,-0.005,0.01,0.16568,0.00074924,0
0.324,-0.005,0.01,0.16422,0.0007928,0
0.325,-0.005,0.01,0.16256,0.00082092,0
0.326,-0.005,0.01,0.16093,0.00083812,0
0.327,-0.005,0.01,0.15953,0.00086376,0
0.328,-0.005,0.01,0.15808,0.00090252,0
0.329,-0.005,0.01,0.15682,0.0009572,0
0.33,-0.005,0.01,0.15571,0.001008,0
0.331,-0.005,0.01,0.15439,0.0010288,0
0.332,-0.005,0.01,0.15288,0.0010189,0
0.333,-0.005,0.01,0.1514,0.0010008,0
0.334,-0.005,0.01,0.15002,0.00099743,0
0.335,-0.005,0.01,0.14862,0.0010102,0
0.336,-0.005,0.01,0.14732,0.0010337,0
0.337,-0.005,0.01,0.14614,0.0010564,0
0.338,-0.005,0.01,0.14478,0.0010674,0
0.339,-0.005,0.01,0.14345,0.0010811,0
0.34,-0.005,0.01,0.14227,0.0011088,0
0.341,-0.005,0.01,0.14104,0.0011428,0
0.342,-0.005,0.01,0.13982,0.001184,0
0.343,-0.005,0.01,0.13863,0.001225,0
0.344,-0.005,0.01,0.13743,0.001259,0
0.345,-0.005,0.01,0.13614,0.0012874,0
0.346,-0.005,0.01,0.1349,0.0013141,0
0.347,-0.005,0.01,0.13377,0.001343,0
0.348,-0.005,0.01,0.13269,0.0013726,0
0.349,-0.005,0.01,0.13189,0.0014201,0
0.35,-0.005,0.01,0.13145,0.0014796,0
0.351,-0.005,0.01,0.13194,0.0015232,0
0.352,-0.005,0.01,0.1332,0.0016135,0
0.353,-0.005,0.01,0.13623,0.0018074,0
0.354,-0.005,0.01,0.14379,0.002097,0
0.355,-0.005,0.01,0.15198,0.0025938,0
0.356,-0.005,0.01,0.10133,0.0052617,0
0.273,0.005,-0.01,0.37701,0.0027137,0
0.274,0.005,-0.01,0.36187,0.0024062,0
0.275,0.005,-0.01,0.33303,0.001965,0
0.276,0.005,-0.01,0.31032,0.0019493,0
0.277,0.005,-0.01,0.29591,0.0019967,0
0.278,0.005,-0.01,0.28649,0.0017309,0
0.279,0.005,-0.01,0.2846,0.0019658,0
0.28,0.005,-0.01,0.29008,0.0025291,0
0.281,0.005,-0.01,0.29609,0.0026568,0
0.282,0.005,-0.01,0.29933,0.0025738,0
0.283,0.005,-0.01,0.29897,0.0025885,0
0.284,0.005,-0.01,0.29562,0.0028065,0
0.285,0.005,-0.01,0.28865,0.0030123,0
0.286,0.005,-0.01,0.27998,0.003284,0
0.287,0.005,-0.01,0.27227,0.0034791,0
0.288,0.005,-0.01,0.26478,0.0033425,0
0.289,0.005,-0.01,0.25854,0.0031841,0
0.29,0.005,-0.01,0.25455,0.0031604,0
0.291,0.005,-0.01,0.25134,0.0031881,0
0.292,0.005,-0.01,0.24798,0.0031964,0
0.293,0.005,-0.01,0.24437,0.0030391,0
0.294,0.005,-0.01,0.24081,0.0027526,0
0.295,0.005,-0.01,0.2371,0.0024773,0
0.296,0.005,-0.01,0.23358,0.0023276,0
0.297,0.005,-0.01,0.23041,0.0022169,0
0.298,0.005,-0.01,0.22658,0.0020114,0
0.299,0.005,-0.01,0.22272,0.0018176,0
0.3,0.005,-0.01,0.21944,0.0016658,0
0.301,0.005,-0.01,0.21624,0.0015166,0
0.302,0.005,-0.01,0.2132,0.0014113,0
0.303,0.005,-0.01,0.21033,0.0013157,0
0.304,0.005,-0.01,0.20737,0.0011735,0
0.305,0.005,-0.01,0.20399,0.00098125,0
0.306,0.005,-0.01,0.20074,0.00080297,0
0.307,0.005,-0.01,0.19807,0.00066555,0
0.308,0.005,-0.01,0.19539,0.00053956,0
0.309,0.005,-0.01,0.19285,0.00043269,0
0.31,0.005,-0.01,0.19062,0.00032309,0
0.311,0.005,-0.01,0.18834,0.00019766,0
0.312,0.005,-0.01,0.18595,8.2813e-05,0
0.313,0.005,-0.01,0.18357,-2.0378e-05,0
0.314,0.005,-0.01,0.18128,-0.00011863,0
0.315,0.005,-0.01,0.17897,-0.00019936,0
0.316,0.005,-0.01,0.17688,-0.00026386,0
0.317,0.005,-0.01,0.17512,-0.00033541,0
0.318,0.005,-0.01,0.17333,-0.00042684,0
0.319,0.005,-0.01,0.17165,-0.00050948,0
0.32,0.005,-0.01,0.17003,-0.00056773,0
0.321,0.005,-0.01,0.16818,-0.00060936,0
0.322,0.005,-0.01,0.16635,-0.00064017,0
0.323,0.005,-0.01,0.16472,-0.00067032,0
0.324,0.005,-0.01,0.16316,-0.00069788,0
0.325,0.005,-0.01,0.16142,-0.00071435,0
0.326,0.005,-0.01,0.15976,-0.00072241,0
0.327,0.005,-0.01,0.15831,-0.00073137,0
0.328,0.005,-0.01,0.15668,-0.00073754,0
0.329,0.005,-0.01,0.15524,-0.00075964,0
0.33,0.005,-0.01,0.15414,-0.00080662,0
0.331,0.005,-0.01,0.153,-0.00085574,0
0.332,0.005,-0.01,0.15177,-0.00088874,0
0.333,0.005,-0.01,0.15041,-0.00088942,0
0.334,0.005,-0.01,0.149,-0.00087921,0
0.335,0.005,-0.01,0.14762,-0.00090978,0
0.336,0.005,-0.01,0.1464,-0.00095857,0
0.337,0.005,-0.01,0.14522,-0.00097532,0
0.338,0.005,-0.01,0.14375,-0.00095253,0
0.339,0.005,-0.01,0.14231,-0.00092675,0
0.34,0.005,-0.01,0.1411,-0.00093563,0
0.341,0.005,-0.01,0.13992,-0.00096999,0
0.342,0.005,-0.01,0.1388,-0.001024,0
0.343,0.005,-0.01,0.13773,-0.00108,0
0.344,0.005,-0.01,0.13664,-0.0011294,0
0.345,0.005,-0.01,0.13547,-0.0011875,0
0.346,0.005,-0.01,0.13427,-0.0012145,0
0.347,0.005,-0.01,0.13301,-0.0011855,0
0.348,0.005,-0.01,0.13171,-0.0011262,0
0.349,0.005,-0.01,0.13077,-0.0011244,0
0.35,0.005,-0.01,0.13039,-0.0012069,0
0.351,0.005,-0.01,0.13102,-0.0013076,0
0.352,0.005,-0.01,0.13248,-0.0014851,0
0.353,0.005,-0.01,0.13573,-0.0017745,0
0.354,0.005,-0.01,0.14359,-0.0021261,0
0.355,0.005,-0.01,0.15204,-0.0026264,0
0.356,0.005,-0.01,0.10271,-0.0051774,0
0.273,0.005,0.01,0.37701,0.0027137,0
0.274,0.005,0.01,0.36187,0.0024062,0
0.275,0.005,0.01,0.33303,0.001965,0
0.276,0.005,0.01,0.31032,0.0019493,0
0.277,0.005,0.01,0.29591,0.0019967,0
0.278,0.005,0.01,0.28649,0.0017309,0
0.279,0.005,0.01,0.2846,0.0019658,0
0.28,0.005,0.01,0.29008,0.0025291,0
0.281,0.005,0.01,0.29609,0.0026568,0
0.282,0.005,0.01,0.29933,0.0025738,0
0.283,0.005,0.01,0.29897,0.0025885,0
0.284,0.005,0.01,0.29562,0.0028065,0
0.285,0.005,0.01,0.28865,0.0030123,0
0.286,0.005,0.01,0.27998,0.003284,0
0.287,0.005,0.01,0.27227,0.0034791,0
0.288,0.005,0.01,0.26478,0.0033425,0
0.289,0.005,0.01,0.25854,0.0031841,0
0.29,0.005,0.01,0.25455,0.0031604,0
0.291,0.005,0.01,0.25134,0.0031881,0
0.292,0.005,0.01,0.24798,0.0031964,0
0.293,0.005,0.01,0.24437,0.0030391,0
0.294,0.005,0.01,0.24081,0.0027526,0
0.295,0.005,0.01,0.2371,0.0024773,0
0.296,0.005,0.01,0.23358,0.0023276,0
0.297,0.005,0.01,0.23041,0.0022169,0
