"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.339,-0.005,0.01,0.069179,0.0010121,0
0.34,-0.005,0.01,0.067812,0.0010364,0
0.341,-0.005,0.01,0.066454,0.0010689,0
0.342,-0.005,0.01,0.065115,0.0011099,0
0.343,-0.005,0.01,0.063758,0.0011483,0
0.344,-0.005,0.01,0.062346,0.001177,0
0.345,-0.005,0.01,0.060901,0.0012033,0
0.346,-0.005,0.01,0.059428,0.0012246,0
0.347,-0.005,0.01,0.057902,0.0012439,0
0.348,-0.005,0.01,0.056359,0.0012689,0
0.349,-0.005,0.01,0.054868,0.0013104,0
0.35,-0.005,0.01,0.053358,0.0013583,0
0.351,-0.005,0.01,0.052024,0.0013915,0
0.352,-0.005,0.01,0.050997,0.0014545,0
0.353,-0.005,0.01,0.050544,0.0016104,0
0.354,-0.005,0.01,0.052684,0.0017822,0
0.355,-0.005,0.01,0.056195,0.0019747,0
0.356,-0.005,0.01,0.035296,0.0038739,0
0.273,0.005,-0.01,0.28882,0.003585,0
0.274,0.005,-0.01,0.2882,0.003395,0
0.275,0.005,-0.01,0.28644,0.0031746,0
0.276,0.005,-0.01,0.28496,0.0032406,0
0.277,0.005,-0.01,0.28406,0.0032785,0
0.278,0.005,-0.01,0.28117,0.0030472,0
0.279,0.005,-0.01,0.27759,0.003198,0
0.28,0.005,-0.01,0.27427,0.0036392,0
0.281,0.005,-0.01,0.26913,0.0037224,0
0.282,0.005,-0.01,0.26216,0.0035455,0
0.283,0.005,-0.01,0.25478,0.0035105,0
0.284,0.005,-0.01,0.24803,0.0038141,0
0.285,0.005,-0.01,0.24108,0.0042212,0
0.286,0.005,-0.01,0.23415,0.0045703,0
0.287,0.005,-0.01,0.22762,0.0046768,0
0.288,0.005,-0.01,0.22072,0.004491,0
0.289,0.005,-0.01,0.21419,0.0041903,0
0.29,0.005,-0.01,0.20874,0.004033,0
0.291,0.005,-0.01,0.2038,0.0040967,0
0.292,0.005,-0.01,0.19882,0.0041268,0
0.293,0.005,-0.01,0.1936,0.0038679,0
0.294,0.005,-0.01,0.18835,0.0034313,0
0.295,0.005,-0.01,0.18323,0.0030834,0
0.296,0.005,-0.01,0.17847,0.0028835,0
0.297,0.005,-0.01,0.17388,0.0026996,0
0.298,0.005,-0.01,0.16903,0.0024487,0
0.299,0.005,-0.01,0.16429,0.0021838,0
0.3,0.005,-0.01,0.15994,0.0019572,0
0.301,0.005,-0.01,0.15577,0.0017761,0
0.302,0.005,-0.01,0.15186,0.0016558,0
0.303,0.005,-0.01,0.14808,0.0015379,0
0.304,0.005,-0.01,0.14423,0.0013595,0
0.305,0.005,-0.01,0.14023,0.0011327,0
0.306,0.005,-0.01,0.1364,0.00091549,0
0.307,0.005,-0.01,0.133,0.00074895,0
0.308,0.005,-0.01,0.1298,0.0006183,0
0.309,0.005,-0.01,0.12668,0.00050333,0
0.31,0.005,-0.01,0.12373,0.00038183,0
0.311,0.005,-0.01,0.12094,0.00025299,0
0.312,0.005,-0.01,0.11808,0.00013415,0
0.313,0.005,-0.01,0.1152,2.2752e-05,0
0.314,0.005,-0.01,0.11238,-8.3976e-05,0
0.315,0.005,-0.01,0.10975,-0.00016686,0
0.316,0.005,-0.01,0.10734,-0.00023104,0
